id,subj,nseq,ntrialsubj,ntrialseq,lasttrial,H,I,D,event,R,P_group,pred_trials,AL,ALV,slat,linger,dwell
396,54,2,22,7,13,-1.68581570915303,1,0.00596978852304345,0,3.17805383034795,60,1,0,0,1367,-56,77
396,54,2,23,8,13,-1.79248125036058,3.4594316186373,0.0411357845828078,0,1.79175946922805,60,0,4,1,1709,971,1384
396,54,2,24,9,13,-1.72724860626392,1,0.00427254791507445,0,3.17805383034795,60,1,0,NaN,2055,1019,1013
396,54,2,25,10,13,-1.66449777920046,0.893084796083488,0.00316769776485714,0,3.17805383034795,60,1,0,NaN,1481,1224,1243
396,54,2,26,11,13,-1.72323142879762,2.8073549220576,0.0174568265933169,0,2.484906649788,60,0,0,NaN,1470,1029,1819
396,54,2,27,12,13,-1.78063906222957,2.90689059560852,0.0165710644937353,0,1.79175946922805,60,0,0,NaN,1680,1280,1370
396,54,2,28,13,13,-1.73222166376165,1,0.00249745363088484,1,1.79175946922805,60,1,0,NaN,1427,793,866
397,54,3,29,1,5,-1.92192809488736,2,0.0780719051126377,0,0,100,0,0,NaN,1385,1002,1893
397,54,3,30,2,5,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,100,1,0,NaN,1285,955,2126
397,54,3,31,3,5,-1.66449777920046,1,0.0147718639657485,0,1.79175946922805,100,1,NaN,NaN,NaN,NaN,NaN
397,54,3,32,4,5,-1.5487949406954,0.807354922057604,0.00855998136220557,0,3.17805383034795,100,1,0,NaN,1438,1221,1873
397,54,3,33,5,5,-1.44661666762821,0.678071905112638,0.00543126911355016,1,4.78749174278205,100,1,0,NaN,1424,1080,1546
398,54,4,34,1,4,-1.92192809488736,2,0.0780719051126377,0,0,80,0,0,NaN,1321,958,2020
398,54,4,35,2,4,-1.91829583405449,2.32192809488736,0.0702989274995393,0,0,80,0,0,NaN,1305,871,1857
398,54,4,36,3,4,-1.84237099317711,1.58496250072116,0.0283057932583333,0,0.693147180559945,80,1,0,NaN,1434,1231,2163
398,54,4,37,4,4,-1.75,1.22239242133645,0.0148736716970261,1,1.79175946922805,80,1,0,0,1413,974,1683
399,54,5,38,1,4,-1.92192809488736,2,0.0780719051126377,0,0,60,0,NaN,NaN,NaN,NaN,NaN
399,54,5,39,2,4,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,60,1,0,NaN,2408,1074,496
399,54,5,40,3,4,-1.84237099317711,2.58496250072116,0.0633218643778377,0,0.693147180559945,60,0,0,NaN,2171,1018,347
399,54,5,41,4,4,-1.90563906222957,2.8073549220576,0.0573549220576041,1,0.693147180559945,60,0,NaN,NaN,NaN,NaN,NaN
400,54,6,42,1,10,-1.92192809488736,2,0.0780719051126377,0,0,100,0,NaN,NaN,NaN,NaN,NaN
400,54,6,43,2,10,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,100,1,0,NaN,1226,845,1640
400,54,6,44,3,10,-1.66449777920046,1,0.0147718639657485,0,1.79175946922805,100,1,0,NaN,1540,919,1510
400,54,6,45,4,10,-1.5487949406954,0.807354922057604,0.00855998136220558,0,3.17805383034795,100,1,0,NaN,1471,905,1443
400,54,6,46,5,10,-1.44661666762821,0.678071905112638,0.00543126911355016,0,4.78749174278205,100,1,0,NaN,477,957,2373
400,54,6,47,6,10,-1.35677964944704,0.584962500721156,0.00367160149046367,0,6.5792512120101,100,1,0,NaN,1566,903,1413
400,54,6,48,7,10,-1.27761343681912,0.514573172829758,0.00260198748089857,0,6.5792512120101,100,1,0,NaN,1384,887,1577
400,54,6,49,8,10,-1.20751874963942,0.459431618637297,0.00191286899787533,0,6.5792512120101,100,1,0,NaN,608,918,180
400,54,6,50,9,10,-1.14511041438158,0.415037499278844,0.00144823907625648,0,6.5792512120101,100,1,4,1,-105,464,146
400,54,6,51,10,10,-1.08923007884258,0.37851162325373,0.00112327902986537,0,6.5792512120101,100,1,0,NaN,1394,781,887
401,55,1,1,1,14,-1.92192809488736,2,0.0780719051126377,0,0,100,0,0,NaN,1437,953,2396
401,55,1,2,2,14,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,100,1,0,0,1109,1062,2853
401,55,1,3,3,14,-1.66449777920046,1,0.0147718639657485,0,1.79175946922805,100,1,0,0,560,1069,1853
401,55,1,4,4,14,-1.5487949406954,0.807354922057604,0.00855998136220558,0,3.17805383034795,100,1,0,NaN,845,1082,547
401,55,1,5,5,14,-1.44661666762821,0.678071905112638,0.00543126911355016,0,4.78749174278205,100,1,4,1,1774,1097,823
401,55,1,6,6,14,-1.35677964944704,0.584962500721156,0.00367160149046367,0,6.5792512120101,100,1,0,NaN,546,-721,233
401,55,1,7,7,14,-1.27761343681912,0.514573172829758,0.00260198748089857,0,6.5792512120101,100,1,NaN,NaN,NaN,NaN,NaN
401,55,1,8,8,14,-1.20751874963942,0.459431618637297,0.00191286899787533,0,6.5792512120101,100,1,0,NaN,606,1043,1937
401,55,1,9,9,14,-1.14511041438158,0.415037499278844,0.00144823907625648,0,6.5792512120101,100,1,2,0,778,1327,70
401,55,1,10,10,14,-1.08923007884258,0.37851162325373,0.00112327902986537,0,6.5792512120101,100,1,4,1,967,919,2543
401,55,1,11,11,14,-1.03892059503159,0.347923303420307,0.000889032116172857,0,6.5792512120101,100,1,-1,0,823,949,1626
401,55,1,12,12,14,-0.993392729010363,0.321928094887362,0.000715834762216511,0,6.5792512120101,100,1,4,1,991,1058,2943
401,55,1,13,13,14,-0.951994081908783,0.299560281858908,0.000584973739729195,0,6.5792512120101,100,1,4,1,1031,634,1103
401,55,1,14,14,14,-0.914182838435214,0.280107919192735,0.000484234433789272,1,6.5792512120101,100,1,0,NaN,1071,933,2477
402,55,2,18,1,6,-1.92192809488736,2,0.0780719051126377,0,0,80,0,-1,0,1748,1274,2043
402,55,2,19,2,6,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,80,1,0,0,1221,981,2504
402,55,2,20,3,6,-1.66449777920046,1,0.0147718639657485,0,1.79175946922805,80,1,0,0,1008,824,1316
402,55,2,21,4,6,-1.75,2.8073549220576,0.0573549220576041,0,1.79175946922805,80,0,0,NaN,2281,1138,874
402,55,2,22,5,6,-1.65774272650489,1,0.00892394016177785,0,3.17805383034795,80,1,0,NaN,1030,936,2663
402,55,2,23,6,6,-1.57095059445467,0.84799690655495,0.00581755005522627,1,4.78749174278205,80,1,0,0,635,1054,1919
403,55,3,24,1,4,-1.92192809488736,2,0.0780719051126377,0,0,100,0,NaN,NaN,NaN,NaN,NaN
403,55,3,25,2,4,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,100,1,NaN,NaN,NaN,NaN,NaN
403,55,3,26,3,4,-1.66449777920046,1,0.0147718639657485,0,1.79175946922805,100,1,NaN,NaN,NaN,NaN,NaN
403,55,3,27,4,4,-1.5487949406954,0.807354922057604,0.00855998136220557,1,3.17805383034795,100,1,NaN,NaN,NaN,NaN,NaN
404,55,4,28,1,5,-1.92192809488736,2,0.0780719051126377,0,0,80,0,NaN,NaN,NaN,NaN,NaN
404,55,4,29,2,5,-1.91829583405449,2.32192809488736,0.0702989274995393,0,0,80,0,-1,0,1827,1081,1320
404,55,4,30,3,5,-1.84237099317711,1.58496250072116,0.0283057932583333,0,0.693147180559945,80,1,1,1,1786,1219,1297
404,55,4,31,4,5,-1.75,1.22239242133645,0.0148736716970261,0,1.79175946922805,80,1,0,NaN,681,1114,3026
404,55,4,32,5,5,-1.65774272650489,1,0.00892394016177785,1,3.17805383034795,80,1,NaN,NaN,NaN,NaN,NaN
405,55,5,33,1,4,-1.92192809488736,2,0.0780719051126377,0,0,80,0,NaN,NaN,NaN,NaN,NaN
405,55,5,34,2,4,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,80,1,0,0,1218,1261,2706
405,55,5,35,3,4,-1.84237099317711,2.58496250072116,0.0633218643778377,0,0.693147180559945,80,0,0,0,1102,929,2539
405,55,5,36,4,4,-1.75,1.22239242133645,0.014873671697026,1,1.79175946922805,80,1,0,0,1294,967,1120
406,55,6,37,1,4,-1.92192809488736,2,0.0780719051126377,0,0,80,0,0,NaN,1291,857,2453
406,55,6,38,2,4,-1.91829583405449,2.32192809488736,0.0702989274995393,0,0,80,1,-1,0,1575,934,1469
406,55,6,39,3,4,-1.84237099317711,1.58496250072116,0.0283057932583333,0,0.693147180559945,80,1,NaN,NaN,NaN,NaN,NaN
406,55,6,40,4,4,-1.75,1.22239242133645,0.014873671697026,1,1.79175946922805,80,1,NaN,NaN,NaN,NaN,NaN
407,55,7,41,1,5,-1.92192809488736,2,0.0780719051126377,0,0,60,0,NaN,NaN,NaN,NaN,NaN
407,55,7,42,2,5,-1.91829583405449,2.32192809488736,0.0702989274995393,0,0,60,1,0,0,1388,866,1973
407,55,7,43,3,5,-1.84237099317711,1.58496250072116,0.0283057932583333,0,0.693147180559945,60,1,0,NaN,1156,1302,1286
407,55,7,44,4,5,-1.90563906222957,2.8073549220576,0.0573549220576041,0,0.693147180559945,60,0,0,0,2180,1186,909
407,55,7,45,5,5,-1.83659166810898,1.41503749927884,0.0145361093482848,1,1.79175946922805,60,1,0,NaN,1093,1056,1305
408,55,8,46,1,8,-1.92192809488736,2,0.0780719051126377,0,0,80,0,0,NaN,1455,1001,2390
408,55,8,47,2,8,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,80,1,2,1,2336,908,689
408,55,8,48,3,8,-1.84237099317711,2.58496250072116,0.0633218643778377,0,0.693147180559945,80,0,NaN,NaN,NaN,NaN,NaN
408,55,8,49,4,8,-1.75,1.22239242133645,0.014873671697026,0,1.79175946922805,80,1,0,NaN,2052,1199,260
408,55,8,50,5,8,-1.65774272650489,1,0.00892394016177784,0,3.17805383034795,80,1,NaN,NaN,NaN,NaN,NaN
408,55,8,51,6,8,-1.57095059445467,0.84799690655495,0.00581755005522628,0,4.78749174278205,80,1,0,NaN,2346,876,676
408,55,8,52,7,8,-1.68581570915303,3.32192809488736,0.0443146580682469,0,3.17805383034795,80,0,0,NaN,1939,1209,1147
408,55,8,53,8,8,-1.61400546285422,0.874469117916141,0.00419803036240251,1,3.17805383034795,80,1,3,0,1828,1018,1130
409,56,1,1,1,15,-1.92192809488736,2,0.0780719051126377,0,0,100,0,NaN,NaN,NaN,NaN,NaN
