,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
SL0[48],-0.537,0.079,-0.659,-0.408,0.0,0.0,49408.201,50088.574,
SL0[49],-1.164,0.141,-1.394,-0.944,0.001,0.0,50080.033,49581.922,
SL0[50],-0.649,0.093,-0.799,-0.502,0.0,0.0,48521.632,48863.905,
SL0[51],-0.652,0.136,-0.869,-0.434,0.001,0.0,50571.803,50034.029,
SL0[52],-0.349,0.096,-0.497,-0.191,0.0,0.0,49938.602,49754.501,
SL0[53],-0.138,0.152,-0.381,0.106,0.001,0.0,50526.566,49585.76,
SL0[54],-0.494,0.138,-0.71,-0.272,0.001,0.0,49850.2,49263.213,
SL0[55],-0.483,0.138,-0.701,-0.26,0.001,0.0,50493.157,49842.21,
SL0[56],-0.906,0.156,-1.162,-0.665,0.001,0.0,49969.044,49628.038,
SL0[57],-0.198,0.141,-0.417,0.034,0.001,0.0,49575.177,49627.096,
SL0[58],-0.423,0.082,-0.557,-0.295,0.0,0.0,49479.374,49326.094,
SL0[59],-0.113,0.112,-0.293,0.065,0.001,0.0,50012.95,49425.436,
SL0[60],-0.782,0.089,-0.925,-0.64,0.0,0.0,49637.964,49024.284,
SL0[61],-0.616,0.087,-0.754,-0.475,0.0,0.0,50280.114,49793.21,
SL0[62],-0.092,0.091,-0.238,0.051,0.0,0.0,49890.045,49916.25,
SL0[63],-0.256,0.118,-0.444,-0.069,0.001,0.0,50196.777,49539.141,
SL0[64],-0.617,0.155,-0.857,-0.362,0.001,0.0,50546.291,49636.723,
SL0[65],-0.43,0.151,-0.668,-0.186,0.001,0.0,49947.607,49683.799,
SL0[66],-0.005,0.12,-0.201,0.184,0.001,0.0,50652.149,49585.651,
SL0[67],-0.066,0.105,-0.231,0.103,0.0,0.0,49421.869,49921.924,
SL0[68],-0.341,0.104,-0.511,-0.179,0.0,0.0,49605.11,49475.324,
SL0[69],-0.237,0.143,-0.469,-0.011,0.001,0.0,49218.961,49289.113,
SL0[70],-0.304,0.106,-0.471,-0.133,0.0,0.0,50647.084,49790.902,
SL0[71],-0.751,0.166,-1.01,-0.482,0.001,0.001,49147.064,49052.637,
SL0[72],-0.639,0.072,-0.754,-0.523,0.0,0.0,48364.025,50002.271,
SL0[73],-0.397,0.096,-0.547,-0.241,0.0,0.0,48339.086,49181.252,
SL0[74],0.035,0.071,-0.079,0.147,0.0,0.0,49408.83,48420.042,
SL0[75],0.139,0.203,-0.182,0.466,0.001,0.001,49914.966,49292.148,
SL0[76],-0.789,0.168,-1.06,-0.522,0.001,0.001,49728.164,49961.919,
SL0[77],0.541,0.27,0.103,0.964,0.001,0.001,47814.703,49460.396,
SL0[78],0.245,0.08,0.116,0.37,0.0,0.0,50193.966,48930.36,
SL0[79],0.243,0.125,0.042,0.44,0.001,0.0,50347.231,49608.332,
SL0[80],-0.951,0.11,-1.127,-0.776,0.001,0.0,48464.582,49544.276,
