,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
lambda0[79],0.1,0.041,0.041,0.156,0.0,0.0,50427.7,48625.383,
lambda0[80],0.068,0.027,0.028,0.105,0.0,0.0,50054.604,49954.033,
lambda0[81],0.031,0.015,0.01,0.051,0.0,0.0,48688.017,48578.562,
lambda0[82],0.116,0.055,0.039,0.189,0.0,0.0,49564.006,49498.397,
lambda0[83],0.044,0.02,0.017,0.071,0.0,0.0,49249.279,49152.647,
lambda0[84],0.036,0.023,0.008,0.064,0.0,0.0,45466.031,48657.568,
lambda0[85],0.034,0.021,0.007,0.06,0.0,0.0,49141.349,49794.918,
lambda0[86],0.084,0.038,0.03,0.135,0.0,0.0,50841.501,50268.462,
lambda0[87],0.054,0.026,0.017,0.088,0.0,0.0,50072.566,49791.453,
lambda0[88],0.039,0.017,0.014,0.062,0.0,0.0,49626.869,49637.686,
lambda0[89],0.08,0.061,0.009,0.148,0.0,0.001,49543.201,48975.213,
lambda0[90],0.034,0.015,0.012,0.054,0.0,0.0,49627.273,49099.231,
lambda0[91],0.057,0.02,0.026,0.085,0.0,0.0,49521.601,49748.004,
lambda0[92],0.074,0.028,0.032,0.114,0.0,0.0,49722.208,49053.489,
lambda0[93],0.085,0.031,0.039,0.128,0.0,0.0,49609.209,49248.214,
lambda0[94],0.062,0.023,0.027,0.093,0.0,0.0,47307.804,49627.575,
lambda0[95],0.044,0.016,0.02,0.066,0.0,0.0,49512.913,49835.575,
lambda0[96],0.012,0.008,0.003,0.021,0.0,0.0,49542.335,48807.14,
lambda0[97],0.058,0.063,0.003,0.117,0.0,0.001,50399.531,48894.046,
lambda0[98],0.056,0.022,0.024,0.086,0.0,0.0,50409.88,49754.363,
lambda0[99],0.091,0.056,0.02,0.159,0.0,0.0,49577.226,49233.561,
lambda0[100],0.089,0.033,0.04,0.134,0.0,0.0,49999.238,48899.094,
lambda0[101],0.068,0.028,0.028,0.106,0.0,0.0,48363.031,49540.474,
lambda0[102],0.068,0.033,0.022,0.111,0.0,0.0,49348.236,47146.4,
lambda0[103],0.035,0.017,0.011,0.057,0.0,0.0,49246.192,49669.448,
lambda0[104],0.048,0.024,0.015,0.079,0.0,0.0,50543.879,50727.911,
lambda0[105],0.056,0.027,0.019,0.092,0.0,0.0,49425.014,49295.857,
lambda0[106],0.099,0.045,0.035,0.158,0.0,0.0,50213.49,49925.124,
lambda0[107],0.097,0.03,0.05,0.14,0.0,0.0,49607.789,49779.959,
lambda0[108],0.019,0.019,0.001,0.037,0.0,0.0,50418.817,49836.163,
lambda0[109],0.055,0.043,0.007,0.103,0.0,0.0,50968.514,50254.453,
lambda0[110],0.047,0.019,0.018,0.072,0.0,0.0,49167.381,49669.564,
lambda0[111],0.039,0.015,0.017,0.06,0.0,0.0,50386.37,49669.007,
lambda0[112],0.067,0.03,0.024,0.107,0.0,0.0,50023.024,49844.319,
lambda0[113],0.057,0.028,0.019,0.094,0.0,0.0,50606.315,49439.636,
lambda0[114],0.093,0.032,0.045,0.138,0.0,0.0,49079.167,49051.86,
lambda0[115],0.034,0.037,0.001,0.067,0.0,0.001,48959.473,48812.108,
lambda0[116],0.056,0.025,0.02,0.088,0.0,0.0,48298.451,49508.225,
lambda0[117],0.04,0.02,0.013,0.067,0.0,0.0,48872.235,48976.497,
lambda0[118],0.02,0.012,0.004,0.035,0.0,0.0,49908.93,49421.079,
lambda0[119],0.05,0.025,0.016,0.082,0.0,0.0,50778.063,49375.705,
lambda0[120],0.104,0.05,0.035,0.172,0.0,0.0,49080.921,49032.442,
lambda0[121],0.048,0.02,0.02,0.075,0.0,0.0,49101.084,48860.787,
lambda0[122],0.098,0.043,0.037,0.157,0.0,0.0,49852.702,49076.002,
lambda0[123],0.084,0.037,0.031,0.133,0.0,0.0,50051.136,49749.221,
lambda0[124],0.039,0.015,0.016,0.06,0.0,0.0,48995.145,48941.269,
lambda0[125],0.033,0.014,0.013,0.052,0.0,0.0,50132.73,49137.386,
lambda0[126],0.071,0.034,0.023,0.115,0.0,0.0,49657.406,50130.529,
lambda0[127],0.106,0.039,0.048,0.16,0.0,0.0,49754.652,49501.831,
lambda0[128],0.018,0.013,0.003,0.033,0.0,0.0,49264.259,49157.108,
lambda0[129],0.068,0.022,0.034,0.1,0.0,0.0,50073.041,49244.759,
lambda0[130],0.124,0.05,0.051,0.193,0.0,0.0,49379.278,49752.538,
lambda0[131],0.105,0.046,0.039,0.169,0.0,0.0,50004.366,49752.328,
lambda0[132],0.089,0.047,0.024,0.148,0.0,0.0,50465.208,48960.461,
lambda0[133],0.107,0.044,0.044,0.167,0.0,0.0,50608.444,48142.4,
lambda0[134],0.093,0.037,0.04,0.144,0.0,0.0,50465.332,49729.797,
